src_ip,dst_ip,protocol,src_port,dst_port,timestamp,length,ttl,flags
133.227.136.19,119.67.223.152,UDP,4500,56540,1641013200.09537,1344,56,
133.227.136.19,119.67.223.152,UDP,4500,56540,1641013200.095371,1344,56,
54.79.175.17,163.45.40.210,TCP,443,61107,1641013200.095372,97,45,24
203.78.136.185,162.47.99.224,ICMP,,,1641013200.095386,56,253,
133.227.136.19,119.67.223.152,UDP,4500,56540,1641013200.095415,1344,56,
163.45.18.35,18.25.103.78,UDP,60726,5004,1641013200.095526,68,122,
92.72.196.229,133.105.107.164,TCP,49119,3048,1641013200.095562,40,243,2
202.101.171.237,89.247.69.186,ICMP,,,1641013200.095601,56,249,
204.51.46.66,203.78.137.8,OTHER,,,1641013200.095627,128,250,
193.119.143.50,203.78.141.64,UDP,34637,53,1641013200.095731,80,51,
167.46.173.236,203.78.177.123,TCP,41662,12348,1641013200.095749,44,39,2
157.206.229.0,192.120.200.155,TCP,58678,443,1641013200.095751,52,54,16
203.78.137.8,204.51.46.66,OTHER,,,1641013200.095798,91,253,
157.206.196.247,8.7.188.3,TCP,55715,443,1641013200.095842,52,57,16
190.206.68.199,202.101.170.220,TCP,54989,445,1641013200.095877,128,113,24
89.247.69.144,202.250.226.127,TCP,8080,40126,1641013200.095884,40,246,2
89.247.69.180,163.45.129.38,TCP,53467,16960,1641013200.095982,40,246,2
34.191.103.25,163.45.68.75,UDP,123,3702,1641013200.096011,31,244,
110.71.87.27,203.78.135.92,TCP,14446,443,1641013200.096034,40,118,16
89.247.69.180,203.78.143.158,TCP,53467,23830,1641013200.096053,40,246,2
167.173.70.6,202.101.172.248,TCP,37528,37343,1641013200.096091,40,53,17
192.0.222.29,203.78.207.33,TCP,40743,443,1641013200.096099,40,249,2
2.77.121.63,133.105.136.174,TCP,61001,80,1641013200.096115,40,241,2
157.206.249.55,18.222.254.242,TCP,49480,443,1641013200.096119,52,57,16
110.71.87.27,203.78.135.92,TCP,14446,443,1641013200.096165,40,118,16
80.78.71.3,163.45.179.252,TCP,60000,1198,1641013200.096213,40,247,2
219.74.193.63,203.78.135.92,TCP,33250,873,1641013200.096262,52,49,16
92.72.197.100,133.105.187.88,TCP,45239,42234,1641013200.096272,40,247,2
130.187.3.92,23.2.228.136,UDP,3702,80,1641013200.096326,591,58,
45.213.168.75,163.45.218.228,TCP,52588,106,1641013200.09642,40,239,2
198.7.100.165,203.78.142.251,UDP,8801,52777,1641013200.09648,55,46,
203.78.135.92,110.71.87.27,TCP,443,14862,1641013200.096486,1440,62,16
203.78.135.92,110.71.87.27,TCP,443,14862,1641013200.096491,1440,62,16
185.138.73.88,202.250.237.128,TCP,41455,33898,1641013200.096507,40,247,2
119.126.125.12,203.78.135.92,TCP,57922,80,1641013200.096524,40,56,16
119.126.125.12,203.78.135.92,TCP,57922,80,1641013200.096584,40,56,16
163.45.124.151,3.184.243.79,TCP,35754,2101,1641013200.096601,208,57,24
119.126.125.12,203.78.135.92,TCP,57922,80,1641013200.096618,40,56,16
157.206.21.221,162.141.163.128,TCP,54996,443,1641013200.096678,52,56,16
192.167.216.112,203.78.137.52,OTHER,,,1641013200.096761,188,52,
101.60.249.94,202.101.170.134,TCP,51923,445,1641013200.096896,128,116,24
203.78.135.92,110.71.87.27,TCP,443,14908,1641013200.096965,2840,62,16
37.112.114.230,133.251.130.64,UDP,37894,30301,1641013200.097035,48,48,
157.206.21.221,162.141.163.128,TCP,54996,443,1641013200.097107,52,56,16
167.46.173.232,133.251.97.5,TCP,55576,22521,1641013200.097107,44,39,2
203.78.135.92,110.71.87.27,TCP,443,14908,1641013200.097112,1440,62,16
2.77.121.24,163.45.171.231,TCP,51074,5038,1641013200.097114,40,241,2
203.78.135.92,110.71.87.27,TCP,443,14908,1641013200.097116,1440,62,16
66.15.15.159,133.251.177.240,TCP,29011,9981,1641013200.097149,44,119,2
157.206.196.247,8.7.188.3,TCP,55715,443,1641013200.097167,52,57,16
157.206.232.151,123.240.65.29,TCP,993,1180,1641013200.097197,52,57,16
89.247.69.191,163.45.185.44,TCP,53456,11348,1641013200.097229,40,246,2
203.78.129.205,126.15.117.154,UDP,40000,56747,1641013200.097281,172,63,
110.71.87.27,203.78.135.92,TCP,14897,443,1641013200.097313,40,118,16
157.206.249.55,18.222.254.242,TCP,49480,443,1641013200.097322,52,57,16
110.71.87.27,203.78.135.92,TCP,14908,443,1641013200.097453,40,118,16
89.247.66.138,133.105.64.124,TCP,8080,34189,1641013200.097474,40,246,2
157.206.196.247,8.7.188.3,TCP,55715,443,1641013200.097481,52,57,16
203.78.141.64,193.119.143.50,UDP,53,34637,1641013200.097523,138,59,
110.71.87.27,203.78.135.92,TCP,14897,443,1641013200.097569,40,118,16
110.71.87.27,203.78.135.92,TCP,14908,443,1641013200.097575,40,118,16
185.165.95.226,133.251.108.252,TCP,29011,28017,1641013200.097611,44,118,2
208.56.129.88,163.45.189.134,TCP,443,12237,1641013200.097643,52,56,16
157.206.21.221,162.141.163.128,TCP,54996,443,1641013200.097679,52,56,16
110.71.87.27,203.78.135.92,TCP,14908,443,1641013200.097697,40,118,16
89.247.69.146,203.78.253.213,TCP,8080,55831,1641013200.097728,40,246,2
192.0.222.29,203.78.231.71,TCP,55993,443,1641013200.097822,40,248,2
13.192.246.29,163.45.17.117,TCP,443,60248,1641013200.097839,40,51,16
